"Story","Title","Result","Date","Stability","Duration (s)"
"To test the forgot password functionality","To validate the forgot password functionality with valid and invalid credentials.","FAILURE","2023-08-29T13:52:23.7861761+05:30[Asia/Calcutta]","0.0","169.14"
"To test the Knowledge&Research option","To Validate the Knowledge&Research dropdown","ERROR","2023-08-29T13:55:45.9501792+05:30[Asia/Calcutta]","0.0","4.36"
"To test the Knowledge&Research option","To Validate Knowledge_AboutUs Functionality","ERROR","2023-08-29T13:55:50.3980942+05:30[Asia/Calcutta]","0.0","85.23"
"To test the Knowledge&Research option","To validate the Knowledge_Publications functionality","FAILURE","2023-08-29T13:57:15.7305918+05:30[Asia/Calcutta]","0.0","175.99"
"To test the Media option","To validate the news functionality","FAILURE","2023-08-29T14:03:42.67808+05:30[Asia/Calcutta]","0.0","128.07"
"To test the Media option","To validate the Press Releases Functionalty","FAILURE","2023-08-29T14:10:14.1967094+05:30[Asia/Calcutta]","0.0","222.0"
"To Test the Our Bank Option in the home page","To validate the drop down","ERROR","2023-08-29T14:16:15.2612004+05:30[Asia/Calcutta]","0.0","3.11"
"To validate the Signup functionality of Afrexim page","To validate the signup functionality","FAILURE","2023-08-29T14:26:48.5632515+05:30[Asia/Calcutta]","0.0","77.04"
"To validate the Functionality of Investers Option in Afrexim Bank","To Test the Investers dropdown","ERROR","2023-08-29T14:28:05.6282411+05:30[Asia/Calcutta]","0.0","1.74"
"To validate the Functionality of Investers Option in Afrexim Bank","To Test the Investers_FinancialInformation Functionality","FAILURE","2023-08-29T14:28:07.4643231+05:30[Asia/Calcutta]","0.0","53.58"
